Country,Artist,Subscribers
USA,Davido,794699
Nigeria,Davido,557421
Kenya,Davido,335207
France,Davido,297542
South Africa,Davido,222214
England,Davido,195849
Tanzania,Davido,161953
Canada,Davido,112989
Ghana,Davido,105457
Senegal,Davido,97924
Brazil,Davido,60260
Italy,Davido,52728
Germany,Davido,52728
Morocco,Davido,52728
Jamaica,Davido,48964
Uganda,Davido,45196
Portugal,Davido,41428
Zimbabwe,Davido,41428
USA,Rema,581596
Kenya,Rema,341455
Brazil,Rema,251401
Nigeria,Rema,236391
France,Rema,236391
India,Rema,228888
South Africa,Rema,153840
England,Rema,153840
Morocco,Rema,116321
Tanzania,Rema,105064
Ghana,Rema,97556
Portugal,Rema,71294
Canada,Rema,71294
Spain,Rema,67540
Senegal,Rema,56283
Russia,Rema,52530
Algeria,Rema,52530
Indonesia,Rema,48780
Bangladesh,Rema,48780
Italy,Rema,45026
Zimbabwe,Rema,45026
Colombia,Rema,45026
Uganda,Rema,45026
Peru,Rema,45026
USA,Tems,326554
Nigeria,Tems,102048
South Africa,Tems,76071
Kenya,Tems,74216
England,Tems,40819
France,Tems,27830
Uganda,Tems,25047
Ghana,Tems,21337
Tanzania,Tems,19481
Brazil,Tems,16698
Jamaica,Tems,14843
Canada,Tems,13915
Portugal,Tems,9276
USA,Burna Boy,1012697
France,Burna Boy,402237
Kenya,Burna Boy,402237
England,Burna Boy,359649
Nigeria,Burna Boy,326523
South Africa,Burna Boy,194020
Ghana,Burna Boy,194020
Canada,Burna Boy,151432
Uganda,Burna Boy,127769
Jamaica,Burna Boy,99377
Portugal,Burna Boy,94643
Brazil,Burna Boy,89910
Italy,Burna Boy,70985
India,Burna Boy,61517
Tanzania,Burna Boy,56789
Dominican Republic,Burna Boy,56789
Germany,Burna Boy,52055
Spain,Burna Boy,52055
Zimbabwe,Burna Boy,52055
USA,Ayra Starr,399605
Kenya,Ayra Starr,262852
Nigeria,Ayra Starr,186483
France,Ayra Starr,127873
South Africa,Ayra Starr,97681
England,Ayra Starr,87026
Ghana,Ayra Starr,65713
Uganda,Ayra Starr,53281
Brazil,Ayra Starr,49728
Portugal,Ayra Starr,42623
Canada,Ayra Starr,35520
Tanzania,Ayra Starr,35520
Jamaica,Ayra Starr,33744
Zimbabwe,Ayra Starr,30192
India,Ayra Starr,28415
Senegal,Ayra Starr,26639
Italy,Ayra Starr,23089
Germany,Ayra Starr,23089
Angola,Ayra Starr,21312
Nigeria,Asake,253241
USA,Asake,221840
Kenya,Asake,131685
France,Asake,104335
England,Asake,81037
Ghana,Asake,81037
South Africa,Asake,37480
Tanzania,Asake,35453
Uganda,Asake,33427
Canada,Asake,29376
Italy,Asake,23298
Germany,Asake,17220
USA,Victony,100280
Kenya,Victony,74066
Nigeria,Victony,61999
France,Victony,41194
South Africa,Victony,24966
England,Victony,19140
Uganda,Victony,17476
Ghana,Victony,15811
Tanzania,Victony,14563
Brazil,Victony,13731
Portugal,Victony,12899
Canada,Victony,11650
Morocco,Victony,10818
Senegal,Victony,7905
Italy,Victony,6241
Germany,Victony,6241
Kenya,Omah Lay,320602
USA,Omah Lay,304410
Nigeria,Omah Lay,218591
France,Omah Lay,119821
South Africa,Omah Lay,102009
Ghana,Omah Lay,80959
Uganda,Omah Lay,72863
England,Omah Lay,68006
Tanzania,Omah Lay,46956
Canada,Omah Lay,42098
Brazil,Omah Lay,35622
Portugal,Omah Lay,34003
Italy,Omah Lay,32383
Senegal,Omah Lay,30765
Germany,Omah Lay,30765
India,Omah Lay,29145
Spain,Omah Lay,24287
Australia,Omah Lay,22668
Colombia,Omah Lay,22668
Zimbabwe,Omah Lay,21050
USA,Wizkid,596623
Nigeria,Wizkid,304460
Kenya,Wizkid,233728
England,Wizkid,199900
France,Wizkid,193750
South Africa,Wizkid,129165
Ghana,Wizkid,123015
Tanzania,Wizkid,104563
Uganda,Wizkid,83036
Canada,Wizkid,73810
Italy,Wizkid,49204
Jamaica,Wizkid,49204
Portugal,Wizkid,46129
Senegal,Wizkid,43054
Germany,Wizkid,43054
Brazil,Wizkid,39978
Spain,Wizkid,36903
Morocco,Wizkid,33828
India,Wizkid,30753
